freq1,noise,max_magnitude,total_gain_db,base_pwr_db,rssi,relpwr_db,avgpwr_db
5180,-102,39,78,382,10,9,60
5180,-102,43,77,384,10,8,60
5180,-102,59,78,383,10,6,59
5180,-102,42,77,383,10,8,58
5180,-102,37,76,384,12,9,58
5180,-102,36,76,384,11,8,58
5180,-102,56,78,383,10,6,60
5180,-102,42,75,385,11,9,58
5180,-102,35,77,383,10,8,58
5180,-102,75,77,384,10,10,63
5180,-102,46,77,384,9,10,59
5180,-102,29,75,385,11,10,58
5180,-102,56,78,383,10,7,60
5180,-102,44,78,382,9,10,61
5180,-102,42,77,384,10,8,59
5180,-102,35,75,386,11,10,58
5180,-102,35,76,385,10,8,57
5180,-102,33,75,386,12,10,57
5180,-102,36,75,386,11,10,57
5180,-102,75,78,382,10,10,64
5180,-102,33,77,384,10,10,58
5180,-102,33,75,385,12,9,56
5180,-102,46,77,384,11,9,60
5180,-102,28,75,385,11,9,57
5180,-102,31,76,385,11,10,58
5180,-102,41,76,384,9,10,59
5180,-102,29,75,385,10,7,56
5180,-102,51,79,382,9,8,61
5180,-102,35,77,383,9,9,59
5180,-102,58,77,383,10,9,59
5180,-102,30,76,384,11,8,58
5180,-102,29,73,388,13,8,57
5180,-102,65,78,382,10,9,62
5180,-102,27,76,385,11,10,58
5180,-102,32,75,386,11,8,58
5180,-102,76,77,383,10,10,63
5180,-102,34,77,384,11,10,59
5180,-102,47,78,382,9,9,60
5180,-102,44,76,384,11,9,58
5180,-102,48,76,385,11,9,59
5180,-102,40,75,385,11,9,58
5180,-102,39,77,384,11,7,59
5180,-102,54,75,386,12,11,60
5180,-102,44,78,383,11,9,60
5180,-102,37,76,385,12,9,57
5180,-102,45,75,385,12,11,59
5180,-102,39,77,384,11,10,59
5180,-102,34,76,385,11,9,57
5180,-102,38,76,385,10,11,58
5180,-102,24,72,388,14,9,53
5180,-102,53,79,382,11,8,61
5180,-102,39,77,384,11,8,59
5180,-102,44,73,387,10,8,58
5180,-102,46,77,383,10,10,59
5180,-102,43,75,386,11,8,57
5180,-102,37,76,385,11,7,59
5180,-102,43,76,385,11,7,60
5180,-102,43,77,383,10,6,58
5180,-102,49,76,384,11,10,58
5180,-102,30,72,388,12,10,55
5180,-102,49,78,383,10,9,60
5180,-102,36,77,383,10,7,58
5180,-102,30,75,385,11,10,57
5180,-102,25,71,390,13,9,54
5180,-102,32,75,385,11,8,57
5180,-102,35,76,385,10,6,58
5180,-102,39,78,383,11,7,60
5180,-102,52,77,384,11,8,59
5180,-102,65,76,384,11,8,60
5180,-102,32,76,384,11,8,58
5180,-102,47,76,384,11,9,59
5180,-102,38,76,384,11,7,60
5180,-102,37,75,386,12,10,58
5180,-102,31,77,384,10,9,58
5180,-102,38,75,385,11,9,58
5180,-102,24,74,387,11,10,56
5180,-102,38,76,385,10,9,58
5180,-102,42,76,385,11,11,59
5180,-102,30,75,385,12,9,57
5180,-102,32,74,386,12,10,57
5180,-102,45,77,383,11,9,60
5180,-102,44,77,383,10,7,59
5180,-102,42,76,385,11,9,59
5180,-102,23,73,387,12,8,54
5180,-102,39,78,383,10,8,59
5180,-102,45,77,384,10,10,60
5180,-102,35,75,385,12,8,58
5180,-102,38,77,384,11,8,60
5180,-102,32,74,386,13,10,56
5180,-102,45,77,383,10,11,61
5180,-102,40,76,385,11,10,58
5180,-102,58,76,385,11,8,60
5180,-102,40,76,385,11,11,59
5180,-102,38,75,386,12,11,58
5180,-102,37,76,384,10,9,58
5180,-102,34,76,385,11,8,59
5180,-102,49,76,384,10,9,58
5180,-102,38,77,384,10,10,59
5180,-102,19,72,388,13,10,54
